specI	species	main_module	food_microbiome_metabolic_module	food_microbiome_metabolic_function	food_microbiome_functional_gene	gene	DO_IRD_Fa_Ma1_1
specI_v4_01426	Companilactobacillus paralimentarius	F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase_3_purS	1122151.SAMD00012331.GCA_000615725_01012	1.3506748217044
specI_v4_01426	Companilactobacillus paralimentarius	F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B008_Phosphoribosylaminoimidazole-succinocarboxamide_synthase	F3MB_01_B008_Phosphoribosylaminoimidazole-succinocarboxamide_synthase_purC	1122151.SAMD00012331.GCA_000615725_01013	0.4693022685583085
specI_v4_01426	Companilactobacillus paralimentarius	F3MN_amino_acid_nitrogen_metabolism	F3MN_11_branched-chain_amino_acids_catabolic_pathways	F3MN_11_N059_NADP-dependent_3-hydroxyisobutyrate_dehydrogenase	F3MN_11_N059_NADP-dependent_3-hydroxyisobutyrate_dehydrogenase_mmsB	1122151.SAMD00012331.GCA_000615725_01044	1.1497093638037454
specI_v4_01426	Companilactobacillus paralimentarius	F3MD_DNA_metabolism	F3MD_01_DNA_replication	F3MD_01_D003_DNA_gyrase_topoisomerase	F3MD_01_D003_Topoisomerase_IV_parC	1122151.SAMD00012331.GCA_000615725_01954	0.4076883510911441
specI_v4_01426	Companilactobacillus paralimentarius	F3MU_uptake_transport_systems	F3MU_01_sugar_PTS_phosphotransferase_systems	F3MU_01_U018_PTS_system_cellobiose_diacetylchitobiose_celABC	F3MU_01_U018_PTS_system_cellobiose_diacetylchitobiose_IIC_component_celB	1122151.SAMD00012331.GCA_000615725_02020	1.644881218511299
specI_v4_01426	Companilactobacillus paralimentarius	F3MF_cofactors_metabolism	F3MF_05_panthotenate_CoenzymeA_biosynthesis	F3MF_05_F042_Pantetheine-phosphate_adenyltransferase	F3MF_05_F042_Pantetheine-phosphate_adenyltransferase_coaD	1122151.SAMD00012331.GCA_000615725_02181	2.0260122325566003
specI_v4_01426	Companilactobacillus paralimentarius	F3MS_cell_division_and_shape	F3MS_02_Z-ring_formation	F3MS_02_S005_Cell_division_Z_ring_membrane_anchor	F3MS_02_S005_Cell_division_Z_ring_membrane_anchor_ftsA	1122151.SAMD00012331.GCA_000615725_02219	0.3659317248229982
specI_v4_01426	Companilactobacillus paralimentarius	F3MT_translation_and_posttranslation_processes	F3MT_01_Amino_acyl-tRNA_biosynthesis	F3MT_01_T016_Phenylalanyl-tRNA_synthetase	F3MT_01_T016_Phenylalanyl-tRNA_synthetase_beta_subunit_pheT	1122151.SAMD00012331.GCA_000615725_02541	0.4142967657597038
specI_v4_01426	Companilactobacillus paralimentarius	F3MD_DNA_metabolism	F3MD_01_DNA_replication	F3MD_01_D007_DNA_polymerases	F3MD_01_D007_DNA_polymerase_polC	1122151.SAMN02369493.GCA_001434985_00314	0.2317057225518008
specI_v4_00199	Leuconostoc mesenteroides	F3MT_translation_and_posttranslation_processes	F3MT_04_Ribosome_biosynthesis	F3MT_04_T028_Ribosomal_proteins_modifications	F3MT_04_T028_Ribosomal_protein_L11_methyltransferase_prmA	1123962.SAMD00166021.GCA_007989505_00261	8.30665015348206
specI_v4_00199	Leuconostoc mesenteroides	F3MR_redox	F3MR_02_NADH_redox_balance	F3MR_02_Quinone_reductase_activity	F3MR_02_R048_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase_subunitB_fixB	1123962.SAMD00166021.GCA_007989505_01435	3.313815358478735
specI_v4_00199	Leuconostoc mesenteroides	F3MC_carbohydrate_metabolism	F3MC_09_trehalose_catabolism	F3MC_09_C049_Trehalose-6-phosphate_hydrolase	F3MC_09_C049_Trehalose-6-phosphate_hydrolase_treA	1123962.SAMD00166021.GCA_007989505_01684	22.757945625978248
specI_v4_00261	Pediococcus pentosaceus	F3MU_uptake_transport_systems	F3MU_11_inorganic_ions_transport_systems	F3MU_11_U096_magnesium_transport_systems	F3MU_11_U096_Mg2+_transporter_corA	1133596.SAMEA2272526.GCA_000285875_00243	4.259820591529262
specI_v4_00261	Pediococcus pentosaceus	F3MU_uptake_transport_systems	F3MU_11_inorganic_ions_transport_systems	F3MU_11_U098_sodium_proton_transport_systems	F3MU_11_U098_Na+_H+_antiporter_nhaP	1133596.SAMEA2272526.GCA_000285875_00304	4.259820591529262
specI_v4_00261	Pediococcus pentosaceus	F3MS_cell_division_and_shape	F3MS_04_chromosome_partitioning	F3MS_04_S012_DNA_segregation_ATPase	F3MS_04_S012_DNA_segregation_ATPase_FtsK_SpoIIIE_S-DNA-T_family_essC	1133596.SAMEA2272526.GCA_000285875_01083	0.40520244651132
specI_v4_00094	Enterococcus faecalis	F3MS_cell_division_and_shape	F3MS_04_chromosome_partitioning	F3MS_04_S015_Chromosome_partitioning_proteins	F3MS_04_S015_Chromosome_partitioning_protein_parA	1134784.SAMN02299460.GCA_000293985_01541	2.595828172963144
specI_v4_00116	Lactococcus lactis	F3MD_DNA_metabolism	F3MD_03_DNA_modification_restriction	F3MD_03_D013_DNA_general_methylases	F3MD_03_D013_DNA_methylase_mod	1137134.SAMEA3138808.GCA_000442845_00889	0.5324775739411578
specI_v4_00008	Enterococcus_B faecium	F3MD_DNA_metabolism	F3MD_03_DNA_modification_restriction	F3MD_03_D014_DNA_cytosine_methylases	F3MD_03_D014_5-methylcytosine-specific_restriction_enzyme_mcrA	1138914.SAMN00779828.GCA_000322085_00540	5.748546819018728
specI_v4_06115	Pediococcus inopinatus	F3MU_uptake_transport_systems	F3MU_04_sugar_ABC_transporters	F3MU_04_U045_galactosides_ABC_transporters	F3MU_04_U045_Raffinose_stachyose_melibiose_ABC_transport_system_substrate-binding_protein_msmE	114090.SAMD00018420.GCA_001641385_00411	0.7673579818459177
specI_v4_00957	Pseudomonas_E putida_B	F3MF_cofactors_metabolism	F3MF_01_thiamine_biosynthesis	F3MF_01_F005_Glycine_oxidase	F3MF_01_F005_Glycine_oxidase_thiO	114707.SAMEA8943874.GCA_913777725_00163	0.907830617866892
specI_v4_01249	Pectobacterium aroidearum	F3MT_translation_and_posttranslation_processes	F3MT_09_general_protein_chaperones	F3MT_09_T044_Efficient_protein_folding_complex_proteins	F3MT_09_T044_Protein_refolding_groL	1150613.SAMN16260792.GCA_015709085_00596	0.6052204119112613
specI_v4_01249	Pectobacterium aroidearum	F3MA_RNA_metabolism	F3MA_01_RNA_transcription	F3MA_01_R001_RNA_polymerase_rpo	F3MA_01_R001_DNA-dependent_RNA_polymerase_subunitB_rpoB	1150613.SAMN16260792.GCA_015709085_02171	0.1237029062320485
